size,threads,mean_parallel_s,mean_seq_s,speedup,efficiency_pct,parallel_runs
128,1,0.000000,0.000000,, ,3
128,2,0.000000,0.000000,, ,3
128,4,0.000000,0.000000,, ,3
128,8,0.043333,0.000000,0.000000,0.00,3
256,1,0.020000,0.020000,1.000000,100.00,3
256,2,0.010000,0.020000,2.000000,100.00,3
256,4,0.006667,0.020000,3.000000,75.00,3
256,8,0.010000,0.020000,2.000000,25.00,3
512,1,0.206667,0.233333,1.129032,112.90,3
512,2,0.093333,0.233333,2.500000,125.00,3
512,4,0.060000,0.233333,3.888889,97.22,3
512,8,0.060000,0.233333,3.888889,48.61,3
1000,1,2.270000,2.196667,0.967696,96.77,3
1000,2,1.090000,2.196667,2.015205,100.76,3
1000,4,0.780000,2.196667,2.816013,70.40,3
1000,8,0.863333,2.196667,2.545455,31.82,3
